Name,Freq,Month,Year,Date,State,url_1,url_2,url_3,internet_revenue,retail_revenue,internet_handle,retail_handle,internet_promo,tier_1_internet_wagers,tier_1_internet_handle,tier_1_internet_revenue,tier_2_internet_wagers,tier_2_internet_handle,tier_2_internet_revenue,tier_1_retail_wagers,tier_1_retail_handle,tier_1_retail_revenue,tier_2_retail_wagers,tier_2_retail_handle,tier_2_retail_revenue,internet_hold,retail_hold,retail_betsize,internet_betsize
Indiana Grand,Monthly,6,2020,2020-06,IN,none,,,,-2508.0,,0.0,,,,,,,,,,,,,,,,,
Ameristar Casino,Monthly,3,2020,2020-03,IN,none,,,,232186.0,,2126435.0,,,,,,,,,,,,,,,0.10919026445670806,,
Blue Chip Casino,Monthly,3,2020,2020-03,IN,none,,,,10736.0,,693011.0,,,,,,,,,,,,,,,0.015491817590196981,,
Horseshoe Hammond,Monthly,3,2020,2020-03,IN,none,,,,211475.0,,3439690.0,,,,,,,,,,,,,,,0.061480831121409195,,
Belterra Casino,Monthly,3,2020,2020-03,IN,none,,,,-35082.0,,242689.0,,,,,,,,,,,,,,,-0.14455537745839325,,
Caesars Southern Indiana,Monthly,3,2020,2020-03,IN,none,,,,-25689.0,,800758.0,,,,,,,,,,,,,,,-0.03208085339141164,,
French Lick Resort,Monthly,3,2020,2020-03,IN,none,,,,-16027.0,,81343.0,,,,,,,,,,,,,,,-0.19702986120502072,,
Hollywood Lawrenceburg,Monthly,3,2020,2020-03,IN,none,,,,186382.0,,2562929.0,,,,,,,,,,,,,,,0.07272226425312601,,
Rising Star Casino,Monthly,3,2020,2020-03,IN,none,,,,-5903.0,,43686.0,,,,,,,,,,,,,,,-0.1351233804880282,,
Tropicana Evansville,Monthly,3,2020,2020-03,IN,none,,,,-49753.0,,594036.0,,,,,,,,,,,,,,,-0.08375418324815331,,
Harrah's Hoosier Park,Monthly,3,2020,2020-03,IN,none,,,,-86875.0,,569227.0,,,,,,,,,,,,,,,-0.15261925383019428,,
Indiana Grand,Monthly,3,2020,2020-03,IN,none,,,,-8045.0,,515020.0,,,,,,,,,,,,,,,-0.015620752592132345,,
Ameristar Casino,Monthly,5,2020,2020-05,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
